CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
201001,,Enquiry,1,17,SmallBusiness,Female,3,3,Basic,3,Single,5,0,3,0,1,Executive,18629,0
201002,35,Company Invited,1,24,Salaried,Male,2,3,Standard,3,Unmarried,3,0,3,0,0,Senior Manager,24362,0
201003,25,Enquiry,1,6,Large Business,Male,2,3,Basic,3,Divorced,5,0,5,1,1,Executive,18229,0
201004,,Enquiry,1,13,Salaried,Male,3,1,Basic,5,Single,1,0,1,1,0,Executive,18578,0
201005,29,Enquiry,2,23,Salaried,Male,2,4,Standard,5,Unmarried,2,0,3,0,0,Senior Manager,22988,0
201006,49,Company Invited,1,,Salaried,Male,3,4,Deluxe,5,Single,4,0,3,0,1,Manager,,1
201007,29,Company Invited,1,20,Salaried,Female,2,3,Standard,3,Unmarried,1,1,5,1,0,Senior Manager,22553,1
201008,54,Enquiry,1,6,SmallBusiness,Female,2,3,Super Deluxe,3,Single,7,0,4,1,1,AVP,32328,0
201009,58,Enquiry,1,6,SmallBusiness,Female,3,3,King,5,Divorced,4,1,1,1,,VP,34701,0
201010,55,Enquiry,1,6,SmallBusiness,Male,2,1,Super Deluxe,3,Married,3,0,5,1,0,AVP,29732,0
201011,36,Enquiry,3,9,SmallBusiness,Fe Male,2,3,Deluxe,4,Unmarried,4,1,4,0,1,Manager,24278,0
201012,31,Company Invited,3,6,Salaried,Female,2,5,Basic,3,Single,2,0,3,1,1,Executive,16359,1
201013,30,Enquiry,3,,SmallBusiness,Female,3,3,Deluxe,5,Married,1,0,3,1,0,Manager,19779,0
201014,31,Enquiry,1,14,Salaried,Female,3,3,Super Deluxe,4,Single,4,0,1,1,0,AVP,31422,0
201015,34,Company Invited,1,6,Salaried,Male,3,3,Basic,5,Married,6,0,1,1,2,Executive,17996,0
201016,31,Enquiry,1,14,Salaried,Female,2,4,Basic,4,Single,2,0,4,0,1,Executive,16261,1
201017,27,Enquiry,1,17,Salaried,Male,3,3,Basic,5,Divorced,1,0,5,1,2,Executive,17099,0
201018,36,Enquiry,1,10,Salaried,Male,2,4,Deluxe,3,Single,2,0,5,1,1,Manager,20810,0
201019,36,Enquiry,3,22,SmallBusiness,Female,3,4,Deluxe,5,Divorced,5,0,5,1,0,Manager,20647,0
201020,,Enquiry,1,6,Large Business,Male,3,3,Basic,3,Divorced,1,0,3,1,0,Executive,18420,0
201021,25,,3,,Salaried,Male,3,4,Basic,5,Divorced,4,0,1,1,0,Executive,,1
201022,,Company Invited,1,11,Large Business,Male,2,1,Basic,3,Single,1,0,5,1,0,Executive,18500,0
201023,56,Enquiry,1,6,Salaried,Female,2,3,Basic,5,Divorced,3,0,5,1,1,Executive,17066,0
201024,47,Enquiry,1,8,SmallBusiness,Female,2,3,Super Deluxe,3,Divorced,4,0,5,1,0,AVP,32169,0
201025,,Enquiry,3,10,SmallBusiness,Female,2,3,Deluxe,3,Divorced,2,1,5,1,0,Manager,,0
201026,32,Enquiry,3,13,SmallBusiness,Male,3,3,Deluxe,3,Divorced,5,0,5,1,1,Manager,24204,0
201027,34,Enquiry,1,6,Salaried,Female,2,4,Basic,4,Divorced,6,0,1,1,1,Executive,18294,0
201028,41,Enquiry,1,11,SmallBusiness,Male,2,1,Basic,3,Divorced,3,1,1,1,1,Executive,17127,0
201029,,Company Invited,1,15,Salaried,Male,2,3,Deluxe,3,Married,4,0,3,1,0,Manager,,0
201030,31,Enquiry,3,14,Salaried,Male,2,3,Standard,3,Married,2,0,3,1,0,Senior Manager,25793,0
201031,46,Enquiry,3,15,SmallBusiness,Male,2,3,Standard,3,Married,5,0,3,0,1,Senior Manager,25096,1
201032,,Company Invited,1,8,Salaried,Female,2,4,Basic,5,Single,3,1,3,0,0,Executive,18646,1
201033,31,Company Invited,1,6,Salaried,Female,3,1,Standard,4,Unmarried,2,0,3,1,2,Senior Manager,22446,1
201034,45,Enquiry,1,26,SmallBusiness,Male,3,5,Standard,5,Married,3,1,3,0,0,Senior Manager,25851,0
201035,31,Enquiry,2,14,SmallBusiness,Female,3,1,Basic,4,Single,1,0,1,0,2,Executive,17109,0
201036,,Company Invited,1,8,Salaried,Male,3,3,Basic,3,Divorced,7,1,3,1,1,Executive,,1
201037,45,Enquiry,1,35,Large Business,Male,2,3,Standard,3,Divorced,5,1,5,1,0,Senior Manager,24380,0
201038,48,Enquiry,3,13,SmallBusiness,Male,3,3,Deluxe,5,Married,5,0,4,1,1,Manager,20486,0
201039,34,Enquiry,2,15,Large Business,Female,2,3,Basic,3,Divorced,2,0,1,1,0,Executive,17742,1
201040,40,Company Invited,1,14,SmallBusiness,Male,2,4,Standard,4,Married,3,0,1,1,1,Senior Manager,28757,0
201041,28,Enquiry,3,11,SmallBusiness,Male,2,3,Deluxe,5,Unmarried,1,0,1,1,0,Manager,23463,0
201042,44,Company Invited,1,11,Salaried,Male,2,4,Basic,3,Single,4,0,1,0,1,Executive,18162,0
201043,53,Enquiry,1,8,SmallBusiness,Male,2,1,Super Deluxe,4,Single,5,0,1,1,0,AVP,31598,0
201044,49,Enquiry,1,11,Large Business,Male,3,3,Deluxe,3,Divorced,3,0,3,0,0,Manager,21651,0
201045,40,Enquiry,1,8,SmallBusiness,Male,3,3,Basic,3,Married,3,0,1,0,0,Executive,17345,0
201046,,Enquiry,1,26,Salaried,Male,2,3,Basic,4,Single,2,0,5,1,1,Executive,18420,0
201047,33,,3,,SmallBusiness,Male,2,3,Deluxe,5,Divorced,1,0,3,0,0,Manager,,0
201048,34,Enquiry,3,,Salaried,Male,2,5,Deluxe,5,Single,4,0,5,1,1,Manager,19759,0
201049,30,Enquiry,3,22,Salaried,Male,3,3,Deluxe,3,Divorced,1,0,3,0,2,Manager,20301,0
201050,,Company Invited,1,15,SmallBusiness,Female,3,3,Basic,3,Single,2,0,4,1,1,Executive,18673,0
201051,44,Company Invited,3,,SmallBusiness,Female,3,3,Deluxe,3,Divorced,1,0,4,1,1,Manager,19768,0
201052,30,Company Invited,1,13,Large Business,Male,3,3,Basic,3,Married,2,0,5,0,0,Executive,16274,0
201053,57,Enquiry,1,6,Salaried,Male,3,1,Deluxe,3,Divorced,1,0,3,1,2,Manager,19900,0
201054,49,Enquiry,1,13,Salaried,Male,2,3,Standard,4,Married,4,0,4,0,1,Senior Manager,25466,0
201055,34,Company Invited,1,21,SmallBusiness,Male,3,3,Super Deluxe,5,Married,1,0,4,1,2,AVP,32007,0
201056,28,Company Invited,3,6,Large Business,Male,3,3,Basic,3,Divorced,4,0,3,1,0,Executive,17909,1
201057,29,Company Invited,3,19,Large Business,Female,2,3,Deluxe,4,Single,6,0,3,0,1,Manager,20765,1
201058,34,Enquiry,3,,SmallBusiness,Female,2,4,Deluxe,4,Single,1,1,5,1,0,Manager,19599,1
201059,35,Enquiry,3,13,Salaried,Male,3,3,Basic,3,Divorced,2,0,3,1,0,Executive,17404,0
201060,24,Company Invited,1,15,SmallBusiness,Male,2,3,Basic,5,Single,3,1,3,0,1,Executive,18172,1
201061,24,Company Invited,3,19,Salaried,Female,3,3,Basic,4,Divorced,2,0,1,0,0,Executive,17033,0
201062,44,Company Invited,1,8,SmallBusiness,Male,2,3,Standard,3,Unmarried,6,1,1,0,1,Senior Manager,25209,0
201063,29,Enquiry,3,25,Salaried,Male,3,4,Deluxe,3,Married,2,0,4,1,0,Manager,23620,0
201064,30,Enquiry,2,6,Salaried,Male,2,3,Basic,3,Married,1,0,1,0,1,Executive,17064,0
201065,,Enquiry,1,10,Salaried,Male,1,3,Deluxe,3,Divorced,1,1,4,0,0,Manager,,0
201066,,Enquiry,1,10,SmallBusiness,Female,2,4,Basic,4,Divorced,1,0,1,0,0,Executive,,0
201067,47,Enquiry,3,,SmallBusiness,Female,3,3,Deluxe,3,Divorced,4,1,5,1,0,Manager,19591,0
201068,28,Company Invited,1,8,SmallBusiness,Male,2,4,Basic,5,Single,1,0,4,0,0,Executive,17561,1
201069,28,Enquiry,1,6,Salaried,Male,3,4,Basic,3,Married,2,0,4,0,1,Executive,16563,0
201070,28,Company Invited,3,,Salaried,Male,2,3,Deluxe,5,Single,1,0,3,1,1,Manager,19898,0
201071,49,Enquiry,1,,SmallBusiness,Female,2,4,Deluxe,5,Divorced,5,0,3,1,1,Manager,19789,0
201072,29,Company Invited,1,8,Salaried,Female,3,3,Basic,4,Divorced,1,0,5,0,2,Executive,18180,0
201073,28,Enquiry,1,35,Salaried,Male,3,5,Deluxe,4,Divorced,2,0,1,1,2,Manager,21549,0
201074,33,Enquiry,1,14,Salaried,Male,3,3,Deluxe,3,Unmarried,3,1,3,0,2,Manager,21388,0
201075,32,Enquiry,1,16,SmallBusiness,Male,1,3,Standard,3,Unmarried,3,0,1,0,0,Senior Manager,26244,0
201076,54,Company Invited,1,17,SmallBusiness,Female,2,3,Super Deluxe,3,Married,4,0,3,1,0,AVP,31032,0
201077,29,Enquiry,1,6,Large Business,Male,3,4,Basic,5,Single,7,0,3,0,2,Executive,17362,1
201078,44,Enquiry,1,34,Salaried,Male,2,3,Super Deluxe,5,Divorced,4,0,1,1,0,AVP,31328,0
201079,39,Enquiry,1,12,Salaried,Female,2,3,Standard,4,Unmarried,5,0,3,0,1,Senior Manager,23376,0
201080,46,Enquiry,3,9,Salaried,Female,2,3,Super Deluxe,4,Divorced,1,0,4,1,0,AVP,31606,0
201081,35,Enquiry,1,22,Salaried,Fe Male,3,4,Standard,4,Unmarried,2,0,1,1,2,Senior Manager,23606,0
201082,23,Enquiry,1,26,Salaried,Male,3,3,Deluxe,3,Single,1,0,4,1,2,Manager,17272,0
201083,40,Enquiry,1,15,Salaried,Male,2,3,Basic,5,Single,4,0,1,1,1,Executive,17018,1
201084,34,Enquiry,3,6,Large Business,Male,3,4,Standard,3,Divorced,2,1,1,1,1,Senior Manager,22083,0
201085,,Company Invited,1,9,Salaried,Female,2,3,Basic,3,Single,2,0,4,1,1,Executive,,1
201086,50,Company Invited,1,28,SmallBusiness,Male,2,5,Super Deluxe,3,Single,2,1,1,1,1,AVP,29411,0
201087,34,Enquiry,3,13,Large Business,Male,2,3,Basic,3,Married,1,1,1,0,1,Executive,17308,0
201088,42,Enquiry,1,,SmallBusiness,Male,3,4,Basic,4,Married,5,0,1,1,2,Executive,19841,0
201089,37,Enquiry,1,,SmallBusiness,Male,2,3,Deluxe,3,Married,2,0,1,0,0,Manager,,0
201090,29,Enquiry,1,14,Salaried,Female,2,5,Deluxe,5,Married,4,0,1,0,0,Manager,24715,0
201091,33,Enquiry,1,,Salaried,Male,2,4,Deluxe,4,Single,2,0,1,0,1,Manager,,0
201092,45,Enquiry,1,34,Large Business,Male,3,3,Basic,3,Married,5,0,3,1,2,Executive,17132,0
201093,42,Company Invited,1,8,Salaried,Male,2,3,Standard,3,Married,3,1,3,1,0,Senior Manager,25124,0
201094,40,Enquiry,3,15,SmallBusiness,Male,2,3,Deluxe,5,Married,1,0,3,1,1,Manager,20473,0
201095,33,Enquiry,1,34,Salaried,Male,3,3,Deluxe,3,Married,2,1,1,1,0,Manager,20207,0
201096,40,Enquiry,2,12,SmallBusiness,Male,2,3,Super Deluxe,3,Single,2,1,3,1,1,AVP,31437,0
201097,24,Enquiry,1,27,Large Business,Male,2,4,Basic,5,Married,1,0,3,0,0,Executive,17296,0
201098,,Company Invited,1,14,Salaried,Male,3,3,Deluxe,3,Married,4,1,3,1,1,Manager,,0
201099,45,Enquiry,1,6,Large Business,Male,3,3,Standard,4,Married,2,0,3,1,1,Senior Manager,22441,0
201100,35,Enquiry,3,34,Salaried,Female,3,4,Basic,3,Married,1,0,4,1,2,Executive,17430,0
201101,32,Enquiry,1,11,Salaried,Female,3,4,Deluxe,4,Married,4,0,3,1,0,Manager,20878,0
201102,36,Enquiry,3,8,Salaried,Male,3,3,Basic,3,Single,4,1,3,0,0,Executive,17644,0
201103,48,Enquiry,3,22,Salaried,Female,3,3,Deluxe,3,Married,1,0,4,1,0,Manager,21439,0
201104,29,Enquiry,1,15,Salaried,Male,3,1,Basic,3,Married,7,0,5,1,0,Executive,17451,0
201105,33,Enquiry,3,14,Salaried,Male,2,3,Deluxe,5,Married,3,0,5,1,0,Manager,21392,0
201106,30,Enquiry,3,6,Salaried,Male,3,4,Deluxe,5,Married,2,0,4,1,1,Manager,24714,1
201107,38,Company Invited,2,16,Salaried,Male,3,3,Deluxe,3,Married,4,0,3,0,2,Manager,21077,0
