2022-07-13/00:13:12		Error while creating table: near "Enquiry": syntax error 
2022-07-13/00:13:16		File Moved Successfully travel_10052021_020133.csv
2022-07-13/00:26:48		Error while creating table: near "Business": syntax error 
2022-07-13/00:26:50		File Moved Successfully travel_05022021_141210.csv
2022-07-13/00:37:25		Error while creating table: no such column: SelfEnquiry 
2022-07-13/00:37:27		File Moved Successfully travel_05022021_141210.csv
2022-07-13/00:47:48		Error while creating table: no such column: SelfEnquiry 
2022-07-13/00:47:53		File Moved Successfully travel_05022021_141210.csv
2022-07-13/01:05:18		Error while creating table: no such column: Enquiry 
2022-07-13/01:05:18		File Moved Successfully travel_05022021_141210.csv
2022-07-13/01:46:24		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-13/01:46:29		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-13/01:46:39		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-13/01:46:39		Error while creating table: near ",": syntax error 
2022-07-13/01:46:39		File Moved Successfully travel_05022021_141210.csv
2022-07-13/01:49:20		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-13/01:49:27		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-13/01:49:35		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-13/01:51:11		Error while creating table: near ",": syntax error 
2022-07-13/01:51:14		File Moved Successfully travel_05022021_141210.csv
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
2022-07-14/15:52:25		 travel_05022021_141210.csv: File loaded successfully!!
